Timestamp,1. What physical symptoms do you experience when you breathe the PM2.5 smoke?,2.  What is your age group?,3. Which of these activities do you stop  or change when the smoke gets bad?,4. Which of these items have you bought or used more often because of the smoke ?,5. What changes do you see in your neighborhood or local market when the smoke is bad?,6.  What is your primary way of managing the smoke when you are outdoors?  ,7. How much does the smoky season affect your mood or stress level?,8. Does the air quality change how you talk or interact with others?,"9. When you are at home during the smoky season, how do you manage to keep the indoor air and the heat?","10. Do you spend less time in public places like temples, parks, or markets because of the air quality? ","11.  In your opinion, why do many people in Maesot choose not to wear masks outside?",12.  Do you only wear a mask when you start to feel sick or see a lot of dust?,13.   How often do you have to clean dust or ash inside your home  shop during the smoky season?,14.  What is the main reason you wear a mask?,15. Does the smoke feel like a normal part of life that will never change?,"16. Since PM2.5 is found in many parts of Thailand, how do you feel about living here during the smoky season?","17.  When you are in a comfortable indoor place with air conditioning (like a restaurant or a large shop), do you usually take your mask off?","18. In your opinion, which of these is the biggest cause of the air pollution?",19. How do you check or know if the air quality (PM2.5) is bad today?,20. Do you think the air quality in Maesot and Tak will improve in the next 5 years?
27/03/2026 07:55:28,"Allergic reactions (sneezing, itchy eyes)",26-40,"Playing sports outdoors (football, running, etc.), Hanging out with friends at cafes or parks, Working or studying in outdoor areas, Exercising or walking outside","Face masks, Eye drops or nasal spray, Medicines for cough or allergies","More people are wearing masks, The air smells like like burning or woodsmoke, The mountains or far-away buildings are hard to see","wear a mask, bring alcohol spray",I feel very stressed  and worried,"Yes, sometimes I talk less because I want to keep my mask on.",Open all windows and doors to let the air flow.,A little less than before.,Maybe for personal reason ,"Yes, only when I feel bad or see dust.",Everyday,"I wear it sometimes, but take it off when I'm not at work.","No, I still feel it is a dangerous and unusual problem, I only notice it during the very hot months (Jan-May)",I think this area is still better than other provinces.,"Yes, I feel safe from the smoke inside","Burning of agricultural fields and forests, Smoke from old cars, trucks, and motorcycles, Burning trash or smoking cigarettes in public",I check through social media (Facebook/Line groups),"Yes, I believe it will get better."
27/03/2026 20:56:57,"Allergic reactions (sneezing, itchy eyes), Breathing problems or respiratory issues",26-40,"Playing sports outdoors (football, running, etc.), Traveling or going on trips around Maesot, Working or studying in outdoor areas, Exercising or walking outside","Face masks, Air purifier or new filters","More people are wearing masks, The air smells like like burning or woodsmoke, The mountains or far-away buildings are hard to see","wear a mask, bring alcohol spray, Close all windows at home",I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Stay in a room with AC turned on with all windows closed.,Same as usual,Perhaps they are not used to it or they think that it is not that serious.,"Yes, only when I feel bad or see dust.",Only when it's bad,I wear it because I want to protect my health.,I only notice it during the very hot months (Jan-May),I will stay here and just accept it as part of life.,"Yes, it is easier to talk and eat without it",Burning trash or smoking cigarettes in public,I check through social media (Facebook/Line groups),"Yes, I believe it will get better."
27/03/2026 21:45:48,"Allergic reactions (sneezing, itchy eyes)",Over 40,"Playing sports outdoors (football, running, etc.)",Medicines for cough or allergies,Not noticeable effect,travel by a car,I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Stay in a room with AC turned on with all windows closed.,Only for work or food.,Fear of infection,"Yes, only when I feel bad or see dust.",Few times a week,I wear it because I want to protect my health.,"Yes, it's just a normal part of every year now","I want to leave, but I have no choice because of my work or school.","No, I don't feel it is necessary to wear a mask indoors",Burning of agricultural fields and forests,"I don't check, I only notice it when I start feeling sick","No, I think it will stay the same or get worse."
28/03/2026 09:02:15,"Allergic reactions (sneezing, itchy eyes)",Over 40,Hanging out with friends at cafes or parks,"Face masks, Eye drops or nasal spray, Medicines for cough or allergies",More people are wearing masks,"wear a mask, bring alcohol spray",I feel a little bit annoyed,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,A little less than before.,Because they can't breathe well with facial mask during this hot weather.,"Yes, only when I feel bad or see dust.",Everyday,I wear it because I want to protect my health.,I try not to think about it at all,"I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,Through a weather app or website (IQAir / AirVisual),"Yes, I believe it will get better."
28/03/2026 13:34:35,"Allergic reactions (sneezing, itchy eyes)",26-40,Exercising or walking outside,Face masks,More people are wearing masks,"wear a mask, bring alcohol spray",I feel very stressed  and worried,"Yes, sometimes I talk less because I want to keep my mask on.",Open all windows and doors to let the air flow.,Only for work or food.,People should wear a mask go outside ,"Yes, only when I feel bad or see dust.",Everyday,I wear it because I want to protect my health.,I only notice it during the very hot months (Jan-May),"I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,I check through social media (Facebook/Line groups),"No, I think it will stay the same or get worse."
28/03/2026 13:36:41,"Allergic reactions (sneezing, itchy eyes)",26-40,Hanging out with friends at cafes or parks,No,Everything looks grey,"wear a mask, bring alcohol spray",I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Use fans and keep the window open.,A little less than before.,They think that they do not need,"Yes, only when I feel bad or see dust.",Only when it's bad,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem","I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it","Burning of agricultural fields and forests, Smoke from old cars, trucks, and motorcycles, Burning trash or smoking cigarettes in public, Smoke coming from across the border / areas",I check through social media (Facebook/Line groups),"No, I think it will stay the same or get worse."
28/03/2026 14:04:54,"Allergic reactions (sneezing, itchy eyes), Breathing problems or respiratory issues",26-40,"Hanging out with friends at cafes or parks, Traveling or going on trips around Maesot","Face masks, Indoor cleaning supplies","The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray",I feel normal / calm,"Yes, sometimes I talk less because I want to keep my mask on.",Open all windows and doors to let the air flow.,Only for work or food.,"Though it is the best way to protect smoke, wearing mask all day makes uncomfortable.","Yes, only when I feel bad or see dust.",Few times a week,"I wear it sometimes, but take it off when I'm not at work.","Yes, it's just a normal part of every year now",I think this area is still better than other provinces.,"Yes, it is easier to talk and eat without it","Burning of agricultural fields and forests, Smoke from old cars, trucks, and motorcycles, Burning trash or smoking cigarettes in public",I just look at the sky or clouds with my own eyes,"No, I think it will stay the same or get worse."
28/03/2026 15:35:20,"It becomes a little difficult go breathe, but it’s not an extreme issue.",Under 18,"Playing sports outdoors (football, running, etc.), Working or studying in outdoor areas",Air purifier or new filters,More people are wearing masks,I don’t usually manage the smoke,I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.","Open all windows and doors to let the air flow., Use fans and keep the window open., Stay in a room with AC turned on with all windows closed.",Same as usual,"Perhaps it is not a prevalent problem for them, or people simply find it inconvenient to wear masks.","No, I rarely wear one anyway.",Only when it's bad,"I don't wear a mask, no one forces me to.","Yes, it's just a normal part of every year now, I try not to think about it at all","I don't care about the smoke, I just focus on my daily life.","Yes, it is easier to talk and eat without it","Smoke from old cars, trucks, and motorcycles, Smoke coming from across the border / areas",I check through social media (Facebook/Line groups),"Yes, I believe it will get better."
28/03/2026 16:31:25,"Allergic reactions (sneezing, itchy eyes)",Under 18,"Playing sports outdoors (football, running, etc.), Traveling or going on trips around Maesot, Working or studying in outdoor areas, Exercising or walking outside",Face masks,Fewer people are walking around or shopping,"wear a mask, bring alcohol spray, travel by a car",I feel very stressed  and worried,"Yes, sometimes I talk less because I want to keep my mask on.","Use fans and keep the window open., Stay in a room with AC turned on with all windows closed.",Only for work or food.,They don't know the dangers of dust.,"No, I wear one all the time to stay safe.",Never,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem",I think this area is still better than other provinces.,"Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,I just look at the sky or clouds with my own eyes,"No, I think it will stay the same or get worse."
28/03/2026 17:07:09,"Allergic reactions (sneezing, itchy eyes), Breathing problems or respiratory issues, nosebleed",18-25,"Playing sports outdoors (football, running, etc.), Traveling or going on trips around Maesot, Working or studying in outdoor areas, Exercising or walking outside","Face masks, Eye drops or nasal spray, Air purifier or new filters, Tissue paper","More people are wearing masks, Fewer people are walking around or shopping, The air smells like like burning or woodsmoke, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray, travel by a car, Hygiene post-exposure",I feel a little bit annoyed,"it depends on the person. Some people are highly sensitive to environmental stressors, while others are more stoic or may not even notice the shift.","Stay in a room with AC turned on with all windows closed., Stay in a room with air purifier",Only for work or food.,"In my view, many people find it physically uncomfortable to wear a mask for long periods.","Yes, only when I feel bad or see dust.",Few times a week,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem","I want to leave, but I have no choice because of my work or school.","Yes, I feel safe from the smoke inside","Burning of agricultural fields and forests, Smoke coming from across the border / areas",Through a weather app or website (IQAir / AirVisual),"In my view, the situation will either improve over time or continue as it is today."
