Response_ID,Language,Language_Label,Record_Type,Source_File,Timestamp,Q01_Physical_symptoms_PM25_smoke,Q02_Age_group,Q03_Activities_stopped_or_changed,Q04_Items_bought_or_used_more,Q05_Neighborhood_or_market_changes,Q06_Outdoor_smoke_management,Q07_Mood_or_stress_impact,Q08_Air_quality_affects_interaction,Q09_Indoor_air_and_heat_management,Q10_Less_time_public_places,Q11_Reasons_people_do_not_wear_masks,Q12_Only_wear_mask_when_sick_or_dusty,Q13_Dust_or_ash_cleaning_frequency,Q14_Main_reason_for_wearing_mask,Q15_Smoke_feels_normal_forever,Q16_Feelings_living_here_smoky_season,Q17_Remove_mask_in_air_conditioned_indoor_place,Q18_Biggest_cause_air_pollution,Q19_How_check_PM25_bad_today,Q20_Air_quality_improve_next_5_years
R001,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,27/03/2026 21:09:11,"มีอาการแพ้ (จาม, แสบตา/คันตา), มีปัญหาทางด้านการหายใจหรือระบบทางเดินหายใจ",18-25 ปี,"การเล่นกีฬา(ฟุตบอล, วิ่ง และอื่นๆ), การออกกำลังกายหรือเดินเล่นนอกบ้าน","เครื่องฟอกอากาศหรือแผ่นกรองอากาศใหม่, ยาแก้ไอหรือยาแก้แพ้","อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, มองเห็นภูเขาหรือตึกที่อยู่ไกลออกไปได้ยาก, ทุกอย่างดูเป็นสีเทาไปหมด",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกเครียดและกังวลมาก,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,น้อยลงกว่าเดิมเล็กน้อย,ขี้เกียจ,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,ไม่เคยเลย,ฉันสวมบ้างเป็นบางครั้ง แต่จะถอดออกเมื่อไม่ได้อยู่ที่ทำงาน,ไม่ ฉันยังรู้สึกว่ามันเป็นปัญหาที่อันตรายและไม่ควรเป็นเรื่องปกติ,เป็นกังวลเนื่องจากหมอกควัญที่เยอะขึ้นในทุกๆปีและดูเหมือนจะไม่ลดลง,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ",ติดตามผ่านโซเชียลมีเดีย (เช่น กลุ่ม Facebook หรือ Line),ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
R002,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,27/03/2026 21:12:58,"มีอาการแพ้ (จาม, แสบตา/คันตา)",ต่ำกว่า 18 ปี,"การเล่นกีฬา(ฟุตบอล, วิ่ง และอื่นๆ), การเดินทางหรือไปเที่ยวรอบๆ พื้นที่แม่สอด, การทำงานหรือนั่งเรียนในพื้นที่เปิดโล่ง (Outdoor)","หน้ากากอนามัย, ใช้ไฟฟ้ามากขึ้นสำหรับพัดลมหรือเครื่องปรับอากาศ (แอร์), เครื่องฟอกอากาศหรือแผ่นกรองอากาศใหม่, ยาแก้ไอหรือยาแก้แพ้","คนออกมาเดินเล่นหรือซื้อของน้อยลง, อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, มองเห็นภูเขาหรือตึกที่อยู่ไกลออกไปได้ยาก, ทุกอย่างดูเป็นสีเทาไปหมด","สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์, เดินทางโดยรถยนต์ (ปิดกระจก)",ฉันรู้สึกรำคาญใจเล็กน้อย,ใช่ บางครั้งฉันพูดน้อยลงเพราะต้องการใส่หน้ากากอนามัยไว้ตลอดเวลา,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,น้อยลงกว่าเดิมเล็กน้อย,เวลาใส่จะรู้สึกร้อน,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,2-3 ครั้งต่อสัปดาห์,ฉันสวมเพราะต้องการดูแลและป้องกันสุขภาพของตัวเอง,ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว,ฉันอยากย้ายออกไป แต่ไม่มีทางเลือกเพราะเรื่องงานหรือเรื่องเรียน,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ, ควันลอยมาจากพื้นที่ฝั่งประเทศเพื่อนบ้าน (ข้ามพรมแดน)",ติดตามผ่านโซเชียลมีเดีย (เช่น กลุ่ม Facebook หรือ Line),ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
R003,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,27/03/2026 21:15:13,"มีอาการแพ้ (จาม, แสบตา/คันตา), มีปัญหาทางด้านการหายใจหรือระบบทางเดินหายใจ",ต่ำกว่า 18 ปี,การเดินทางหรือไปเที่ยวรอบๆ พื้นที่แม่สอด,"หน้ากากอนามัย, ยาแก้ไอหรือยาแก้แพ้","ผู้คนสวมหน้ากากอนามัยกันมากขึ้น, อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, ทุกอย่างดูเป็นสีเทาไปหมด","สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์, เดินทางโดยรถยนต์ (ปิดกระจก)",ฉันรู้สึกรำคาญใจเล็กน้อย,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,ส่วนใหญ่จะอยู่แต่ภายในอาคาร,อาจรู้สึกชิน,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,2-3 ครั้งต่อสัปดาห์,ฉันสวมเพราะต้องการดูแลและป้องกันสุขภาพของตัวเอง,"ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว, ไม่ ฉันยังรู้สึกว่ามันเป็นปัญหาที่อันตรายและไม่ควรเป็นเรื่องปกติ",ปรับตัวเลือกสวมหน้ากากเพื่อความปลอดภัย,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ",ไม่ได้ตรวจสอบ จะรู้ก็ต่อเมื่อเริ่มรู้สึกไม่สบายหรือป่วยเท่านั้น,ไม่รู้ต้องดูการแก้ปัญหาของคนในพื้นที่
R004,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,27/03/2026 21:22:56,"มีอาการแพ้ (จาม, แสบตา/คันตา), มีปัญหาทางด้านการหายใจหรือระบบทางเดินหายใจ",ต่ำกว่า 18 ปี,"การเดินทางหรือไปเที่ยวรอบๆ พื้นที่แม่สอด, การออกกำลังกายหรือเดินเล่นนอกบ้าน","หน้ากากอนามัย, อุปกรณ์ทำความสะอาดภายในบ้าน, ยาหยอดตาหรือสเปรย์ฉีดจมูก","คนออกมาเดินเล่นหรือซื้อของน้อยลง, อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, ทุกอย่างดูเป็นสีเทาไปหมด",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ใช่ บางครั้งฉันพูดน้อยลงเพราะต้องการใส่หน้ากากอนามัยไว้ตลอดเวลา,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,ออกไปเฉพาะเวลาทำงานหรือไปหาอาหารเท่านั้น,ไม่ใส่ใจ,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,ทุกวัน,ฉันสวมบ้างเป็นบางครั้ง แต่จะถอดออกเมื่อไม่ได้อยู่ที่ทำงาน,ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว,ฉันอยากย้ายออกไป แต่ไม่มีทางเลือกเพราะเรื่องงานหรือเรื่องเรียน,ใช่ เพราะทำให้คุยกันและกินอาหารได้สะดวกกว่า,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ",สังเกตจากท้องฟ้าหรือกลุ่มก้อนเมฆด้วยตาเปล่า,ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
R005,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,27/03/2026 21:37:36,"มีอาการแพ้ (จาม, แสบตา/คันตา)",ต่ำกว่า 18 ปี,"การเล่นกีฬา(ฟุตบอล, วิ่ง และอื่นๆ)",ไม่ได้ใช้,ผู้คนสวมหน้ากากอนามัยกันมากขึ้น,สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,เปิดหน้าต่างและประตูทุกบานเพื่อให้ระบายอากาศ,ใช้เวลาเท่าเดิมตามปกติ,เพราะมองว่าเป็นเรื่องไม่จำเป็น มองว่าเป็นเรื่องไม่ใหญ่มาก,ไม่ ปกติฉันก็แทบจะไม่ใส่หน้ากากอยู่แล้ว,2-3 ครั้งต่อสัปดาห์,ฉันไม่สวมหน้ากากเลย เพราะไม่มีใครบังคับ,ไม่ ฉันยังรู้สึกว่ามันเป็นปัญหาที่อันตรายและไม่ควรเป็นเรื่องปกติ,ฉันจะอยู่ที่นี่ต่อไปและยอมรับว่ามันเป็นส่วนหนึ่งของชีวิต,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์,ไม่ได้ตรวจสอบ จะรู้ก็ต่อเมื่อเริ่มรู้สึกไม่สบายหรือป่วยเท่านั้น,ใช่ ฉันเชื่อว่ามันจะดีขึ้น
R006,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,27/03/2026 21:41:08,"มีอาการแพ้ (จาม, แสบตา/คันตา), มีปัญหาทางด้านการหายใจหรือระบบทางเดินหายใจ",18-25 ปี,"การเดินทางหรือไปเที่ยวรอบๆ พื้นที่แม่สอด, การออกกำลังกายหรือเดินเล่นนอกบ้าน","หน้ากากอนามัย, ยาแก้ไอหรือยาแก้แพ้","อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, มองเห็นภูเขาหรือตึกที่อยู่ไกลออกไปได้ยาก",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,ส่วนใหญ่จะอยู่แต่ภายในอาคาร,เพราะไม่รู้ถึงผลที่จะตามมา,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,เฉพาะช่วงที่อากาศแย่มากๆ,ฉันสวมเฉพาะเมื่อที่ทำงาน โรงเรียน หรือร้านค้าบังคับให้ใส่เท่านั้น,ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว,ฉันอยากย้ายออกไป แต่ไม่มีทางเลือกเพราะเรื่องงานหรือเรื่องเรียน,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,การเผาพื้นที่เกษตรกรรมและไฟป่า,ติดตามผ่านโซเชียลมีเดีย (เช่น กลุ่ม Facebook หรือ Line),ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
R007,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,28/03/2026 09:54:24,"มีอาการแพ้ (จาม, แสบตา/คันตา)",ต่ำกว่า 18 ปี,"การเล่นกีฬา(ฟุตบอล, วิ่ง และอื่นๆ), การออกกำลังกายหรือเดินเล่นนอกบ้าน","หน้ากากอนามัย, ใช้ไฟฟ้ามากขึ้นสำหรับพัดลมหรือเครื่องปรับอากาศ (แอร์)","คนออกมาเดินเล่นหรือซื้อของน้อยลง, อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,น้อยลงกว่าเดิมเล็กน้อย,ไม่ตระหนักทุกปัญหามากเท่าที่ควร,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,ทุกวัน,ฉันสวมบ้างเป็นบางครั้ง แต่จะถอดออกเมื่อไม่ได้อยู่ที่ทำงาน,ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว,ฉันจะอยู่ที่นี่ต่อไปและยอมรับว่ามันเป็นส่วนหนึ่งของชีวิต,ไม่ ฉันคิดว่าไม่จำเป็นต้องสวมหน้ากากเมื่ออยู่ในอาคารอยู่แล้ว,การเผาพื้นที่เกษตรกรรมและไฟป่า,สังเกตจากท้องฟ้าหรือกลุ่มก้อนเมฆด้วยตาเปล่า,ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
R008,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,28/03/2026 09:55:07,"มีอาการแพ้ (จาม, แสบตา/คันตา)",ต่ำกว่า 18 ปี,"การเล่นกีฬา(ฟุตบอล, วิ่ง และอื่นๆ), การออกกำลังกายหรือเดินเล่นนอกบ้าน","หน้ากากอนามัย, ใช้ไฟฟ้ามากขึ้นสำหรับพัดลมหรือเครื่องปรับอากาศ (แอร์)","คนออกมาเดินเล่นหรือซื้อของน้อยลง, อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,น้อยลงกว่าเดิมเล็กน้อย,ไม่ตระหนักทุกปัญหามากเท่าที่ควร,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,ทุกวัน,ฉันสวมบ้างเป็นบางครั้ง แต่จะถอดออกเมื่อไม่ได้อยู่ที่ทำงาน,ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว,ฉันจะอยู่ที่นี่ต่อไปและยอมรับว่ามันเป็นส่วนหนึ่งของชีวิต,ไม่ ฉันคิดว่าไม่จำเป็นต้องสวมหน้ากากเมื่ออยู่ในอาคารอยู่แล้ว,การเผาพื้นที่เกษตรกรรมและไฟป่า,สังเกตจากท้องฟ้าหรือกลุ่มก้อนเมฆด้วยตาเปล่า,ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
R009,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,28/03/2026 13:05:05,"มีปัญหาทางด้านการหายใจหรือระบบทางเดินหายใจ,",ต่ำกว่า 18 ปี,"การเล่นกีฬา(ฟุตบอล, วิ่ง และอื่นๆ), การทำงานหรือนั่งเรียนในพื้นที่เปิดโล่ง (Outdoor)","หน้ากากอนามัย, เครื่องฟอกอากาศหรือแผ่นกรองอากาศใหม่, ยาแก้ไอหรือยาแก้แพ้","ผู้คนสวมหน้ากากอนามัยกันมากขึ้น, อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, มองเห็นภูเขาหรือตึกที่อยู่ไกลออกไปได้ยาก, ทุกอย่างดูเป็นสีเทาไปหมด",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ใช่ บางครั้งฉันพูดน้อยลงเพราะต้องการใส่หน้ากากอนามัยไว้ตลอดเวลา,ใช้พัดลมและเปิดหน้าต่างทิ้งไว้,น้อยลงกว่าเดิมเล็กน้อย,สดวกสบาย,ไม่ ฉันใส่หน้ากากตลอดเวลาเพื่อความปลอดภัย,2-3 ครั้งต่อสัปดาห์,ฉันสวมเพราะต้องการดูแลและป้องกันสุขภาพของตัวเอง,ไม่ ฉันยังรู้สึกว่ามันเป็นปัญหาที่อันตรายและไม่ควรเป็นเรื่องปกติ,ฉันอยากย้ายออกไป แต่ไม่มีทางเลือกเพราะเรื่องงานหรือเรื่องเรียน,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ",ตรวจสอบผ่านแอปพลิเคชันพยากรณ์อากาศหรือเว็บไซต์ (เช่น IQAir / AirVisual),ใช่ ฉันเชื่อว่ามันจะดีขึ้น
R010,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,28/03/2026 13:13:17,"มีอาการแพ้ (จาม, แสบตา/คันตา)",ต่ำกว่า 18 ปี,"การไปนั่งเล่นกับเพื่อนตามคาเฟ่หรือสวนสาธารณะ, การออกกำลังกายหรือเดินเล่นนอกบ้าน","อุปกรณ์ทำความสะอาดภายในบ้าน, ใช้ไฟฟ้ามากขึ้นสำหรับพัดลมหรือเครื่องปรับอากาศ (แอร์)","คนออกมาเดินเล่นหรือซื้อของน้อยลง, ทุกอย่างดูเป็นสีเทาไปหมด",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ใช่ บางครั้งฉันพูดน้อยลงเพราะต้องการใส่หน้ากากอนามัยไว้ตลอดเวลา,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,ออกไปเฉพาะเวลาทำงานหรือไปหาอาหารเท่านั้น,อาจจะเป็นเพราะไม่อยากซื้อหน้ากากอนามัยหรือใส่แล้วอึดอัด,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,เฉพาะช่วงที่อากาศแย่มากๆ,ฉันสวมบ้างเป็นบางครั้ง แต่จะถอดออกเมื่อไม่ได้อยู่ที่ทำงาน,ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว,ฉันอยากย้ายออกไป แต่ไม่มีทางเลือกเพราะเรื่องงานหรือเรื่องเรียน,ใช่ เพราะทำให้คุยกันและกินอาหารได้สะดวกกว่า,"ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ",สังเกตจากท้องฟ้าหรือกลุ่มก้อนเมฆด้วยตาเปล่า,ใช่ ฉันเชื่อว่ามันจะดีขึ้น
