Timestamp,1.  คุณมีอาการทางกายอย่างไรบ้างเมื่อต้องสูดดมควันฝุ่น PM2.5? ,2. คุณอยู่ในกลุ่มอายุช่วงใด? ,3.  กิจกรรมใดต่อไปนี้ที่คุณต้องหยุดหรือปรับเปลี่ยนเมื่อสถานการณ์หมอกควันเริ่มรุนแรงขึ้น? ,4.  สิ่งของใดที่คุณซื้อหรือใช้งานบ่อยขึ้นเนื่องจากปัญหาหมอกควัน? ,5.  คุณเห็นการเปลี่ยนแปลงอย่างไรบ้างในละแวกบ้านหรือตลาดในท้องถิ่นเมื่อสถานการณ์หมอกควันแย่? ,6.  วิธีหลักในการจัดการหรือป้องกันตนเองจากฝุ่นควันเมื่อคุณอยู่ช้างนอกคืออะไร? ,7. ฤดูที่มีหมอกควันส่งผลกระทบต่ออารมณ์หรือระดับความเครียดของคุณมากน้อย เพียงใด ?,8. คุณภาพอากาศส่งผลต่อวิธีการพูดหรือการปฏิสัมพันธ์ของคุณกับคนอื่นหรือไม่?,9.  เมื่อคุณอยู่ที่บ้านในช่วงฤดูที่มีหมอกควัน คุณมีวิธีจัดการกับอากาศภายในบ้านและความร้อนอย่างไร? ,"10.  คุณใช้เวลาในที่สาธารณะ เช่น วัด, สวนสาธารณะ หรือตลาด น้อยลงหรือไม่เนื่องจากคุณภาพอากาศ? ",11. ในความคิดเห็นของคุณ เพราะอะไรภึงคนจำนวนมากในแม่สอดจึงเลือกที่จะไม่สวมหน้ากากอนามัยเมื่ออยู่ข้างนอก? ,12. คุณสวมหน้ากากอนามัยเฉพาะเมื่อเริ่มรู้สึกไม่สบายหรือเห็นฝุ่นละอองจำนวนมากใช่หรือไม่?,13.  ในช่วงฤดูที่มีหมอกควัน คุณต้องทำความสะอาดฝุ่นหรือเขม่าดำภายในบ้านหรือร้านค้าบ่อยแค่ไหน? ,14.  เหตุผลหลักที่คุณสวมหน้ากากอนามัยคืออะไร? ,15.  คุณรู้สึกว่าหมอกควันกลายเป็นเรื่องปกติของชีวิตที่ไม่มีวันเปลี่ยนแปลงไปแล้วใช่หรือไม่? ,16. เนื่องจากพบฝุ่น PM2.5 ในหลายพื้นที่ของประเทศไทย คุณรู้สึกอย่างไรกับการอาศัยอยู่ที่นี่ในช่วงฤดูที่มีหมอกควัน? ,17. เมื่อคุณอยู่ในสถานที่ในร่มที่สะดวกสบายและมีเครื่องปรับอากาศ (เช่น ร้านอาหารหรือห้างสรรพสินค้า) คุณมักจะถอดหน้ากากอนามัยออกใช่หรือไม่? ,18. ในความคิดเห็นของคุณ สิ่งใดคือสาเหตุที่ใหญ่ที่สุดของมลพิษทางอากาศ? ,19. คุณตรวจสอบหรือทราบได้อย่างไรว่าคุณภาพอากาศ (PM2.5) ในวันนี้ย่ำแย่? ,20. คุณคิดว่าคุณภาพอากาศในแม่สอดและตากจะดีขึ้นในอีก 5 ปีข้างหน้าหรือไม่? 
27/03/2026 21:09:11,"มีอาการแพ้ (จาม, แสบตา/คันตา), มีปัญหาทางด้านการหายใจหรือระบบทางเดินหายใจ",18-25 ปี,"การเล่นกีฬา(ฟุตบอล, วิ่ง และอื่นๆ), การออกกำลังกายหรือเดินเล่นนอกบ้าน","เครื่องฟอกอากาศหรือแผ่นกรองอากาศใหม่, ยาแก้ไอหรือยาแก้แพ้","อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, มองเห็นภูเขาหรือตึกที่อยู่ไกลออกไปได้ยาก, ทุกอย่างดูเป็นสีเทาไปหมด",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกเครียดและกังวลมาก,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,น้อยลงกว่าเดิมเล็กน้อย,ขี้เกียจ,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,ไม่เคยเลย,ฉันสวมบ้างเป็นบางครั้ง แต่จะถอดออกเมื่อไม่ได้อยู่ที่ทำงาน,ไม่ ฉันยังรู้สึกว่ามันเป็นปัญหาที่อันตรายและไม่ควรเป็นเรื่องปกติ,เป็นกังวลเนื่องจากหมอกควัญที่เยอะขึ้นในทุกๆปีและดูเหมือนจะไม่ลดลง,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ",ติดตามผ่านโซเชียลมีเดีย (เช่น กลุ่ม Facebook หรือ Line),ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
27/03/2026 21:12:58,"มีอาการแพ้ (จาม, แสบตา/คันตา)",ต่ำกว่า 18 ปี,"การเล่นกีฬา(ฟุตบอล, วิ่ง และอื่นๆ), การเดินทางหรือไปเที่ยวรอบๆ พื้นที่แม่สอด, การทำงานหรือนั่งเรียนในพื้นที่เปิดโล่ง (Outdoor)","หน้ากากอนามัย, ใช้ไฟฟ้ามากขึ้นสำหรับพัดลมหรือเครื่องปรับอากาศ (แอร์), เครื่องฟอกอากาศหรือแผ่นกรองอากาศใหม่, ยาแก้ไอหรือยาแก้แพ้","คนออกมาเดินเล่นหรือซื้อของน้อยลง, อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, มองเห็นภูเขาหรือตึกที่อยู่ไกลออกไปได้ยาก, ทุกอย่างดูเป็นสีเทาไปหมด","สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์, เดินทางโดยรถยนต์ (ปิดกระจก)",ฉันรู้สึกรำคาญใจเล็กน้อย,ใช่ บางครั้งฉันพูดน้อยลงเพราะต้องการใส่หน้ากากอนามัยไว้ตลอดเวลา,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,น้อยลงกว่าเดิมเล็กน้อย,เวลาใส่จะรู้สึกร้อน,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,2-3 ครั้งต่อสัปดาห์,ฉันสวมเพราะต้องการดูแลและป้องกันสุขภาพของตัวเอง,ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว,ฉันอยากย้ายออกไป แต่ไม่มีทางเลือกเพราะเรื่องงานหรือเรื่องเรียน,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ, ควันลอยมาจากพื้นที่ฝั่งประเทศเพื่อนบ้าน (ข้ามพรมแดน)",ติดตามผ่านโซเชียลมีเดีย (เช่น กลุ่ม Facebook หรือ Line),ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
27/03/2026 21:15:13,"มีอาการแพ้ (จาม, แสบตา/คันตา), มีปัญหาทางด้านการหายใจหรือระบบทางเดินหายใจ",ต่ำกว่า 18 ปี,การเดินทางหรือไปเที่ยวรอบๆ พื้นที่แม่สอด,"หน้ากากอนามัย, ยาแก้ไอหรือยาแก้แพ้","ผู้คนสวมหน้ากากอนามัยกันมากขึ้น, อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, ทุกอย่างดูเป็นสีเทาไปหมด","สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์, เดินทางโดยรถยนต์ (ปิดกระจก)",ฉันรู้สึกรำคาญใจเล็กน้อย,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,ส่วนใหญ่จะอยู่แต่ภายในอาคาร,อาจรู้สึกชิน,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,2-3 ครั้งต่อสัปดาห์,ฉันสวมเพราะต้องการดูแลและป้องกันสุขภาพของตัวเอง,"ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว, ไม่ ฉันยังรู้สึกว่ามันเป็นปัญหาที่อันตรายและไม่ควรเป็นเรื่องปกติ",ปรับตัวเลือกสวมหน้ากากเพื่อความปลอดภัย,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ",ไม่ได้ตรวจสอบ จะรู้ก็ต่อเมื่อเริ่มรู้สึกไม่สบายหรือป่วยเท่านั้น,ไม่รู้ต้องดูการแก้ปัญหาของคนในพื้นที่
27/03/2026 21:22:56,"มีอาการแพ้ (จาม, แสบตา/คันตา), มีปัญหาทางด้านการหายใจหรือระบบทางเดินหายใจ",ต่ำกว่า 18 ปี,"การเดินทางหรือไปเที่ยวรอบๆ พื้นที่แม่สอด, การออกกำลังกายหรือเดินเล่นนอกบ้าน","หน้ากากอนามัย, อุปกรณ์ทำความสะอาดภายในบ้าน, ยาหยอดตาหรือสเปรย์ฉีดจมูก","คนออกมาเดินเล่นหรือซื้อของน้อยลง, อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, ทุกอย่างดูเป็นสีเทาไปหมด",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ใช่ บางครั้งฉันพูดน้อยลงเพราะต้องการใส่หน้ากากอนามัยไว้ตลอดเวลา,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,ออกไปเฉพาะเวลาทำงานหรือไปหาอาหารเท่านั้น,ไม่ใส่ใจ,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,ทุกวัน,ฉันสวมบ้างเป็นบางครั้ง แต่จะถอดออกเมื่อไม่ได้อยู่ที่ทำงาน,ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว,ฉันอยากย้ายออกไป แต่ไม่มีทางเลือกเพราะเรื่องงานหรือเรื่องเรียน,ใช่ เพราะทำให้คุยกันและกินอาหารได้สะดวกกว่า,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ",สังเกตจากท้องฟ้าหรือกลุ่มก้อนเมฆด้วยตาเปล่า,ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
27/03/2026 21:37:36,"มีอาการแพ้ (จาม, แสบตา/คันตา)",ต่ำกว่า 18 ปี,"การเล่นกีฬา(ฟุตบอล, วิ่ง และอื่นๆ)",ไม่ได้ใช้,ผู้คนสวมหน้ากากอนามัยกันมากขึ้น,สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,เปิดหน้าต่างและประตูทุกบานเพื่อให้ระบายอากาศ,ใช้เวลาเท่าเดิมตามปกติ,เพราะมองว่าเป็นเรื่องไม่จำเป็น มองว่าเป็นเรื่องไม่ใหญ่มาก,ไม่ ปกติฉันก็แทบจะไม่ใส่หน้ากากอยู่แล้ว,2-3 ครั้งต่อสัปดาห์,ฉันไม่สวมหน้ากากเลย เพราะไม่มีใครบังคับ,ไม่ ฉันยังรู้สึกว่ามันเป็นปัญหาที่อันตรายและไม่ควรเป็นเรื่องปกติ,ฉันจะอยู่ที่นี่ต่อไปและยอมรับว่ามันเป็นส่วนหนึ่งของชีวิต,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์,ไม่ได้ตรวจสอบ จะรู้ก็ต่อเมื่อเริ่มรู้สึกไม่สบายหรือป่วยเท่านั้น,ใช่ ฉันเชื่อว่ามันจะดีขึ้น
27/03/2026 21:41:08,"มีอาการแพ้ (จาม, แสบตา/คันตา), มีปัญหาทางด้านการหายใจหรือระบบทางเดินหายใจ",18-25 ปี,"การเดินทางหรือไปเที่ยวรอบๆ พื้นที่แม่สอด, การออกกำลังกายหรือเดินเล่นนอกบ้าน","หน้ากากอนามัย, ยาแก้ไอหรือยาแก้แพ้","อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, มองเห็นภูเขาหรือตึกที่อยู่ไกลออกไปได้ยาก",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,ส่วนใหญ่จะอยู่แต่ภายในอาคาร,เพราะไม่รู้ถึงผลที่จะตามมา,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,เฉพาะช่วงที่อากาศแย่มากๆ,ฉันสวมเฉพาะเมื่อที่ทำงาน โรงเรียน หรือร้านค้าบังคับให้ใส่เท่านั้น,ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว,ฉันอยากย้ายออกไป แต่ไม่มีทางเลือกเพราะเรื่องงานหรือเรื่องเรียน,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,การเผาพื้นที่เกษตรกรรมและไฟป่า,ติดตามผ่านโซเชียลมีเดีย (เช่น กลุ่ม Facebook หรือ Line),ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
28/03/2026 09:54:24,"มีอาการแพ้ (จาม, แสบตา/คันตา)",ต่ำกว่า 18 ปี,"การเล่นกีฬา(ฟุตบอล, วิ่ง และอื่นๆ), การออกกำลังกายหรือเดินเล่นนอกบ้าน","หน้ากากอนามัย, ใช้ไฟฟ้ามากขึ้นสำหรับพัดลมหรือเครื่องปรับอากาศ (แอร์)","คนออกมาเดินเล่นหรือซื้อของน้อยลง, อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,น้อยลงกว่าเดิมเล็กน้อย,ไม่ตระหนักทุกปัญหามากเท่าที่ควร,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,ทุกวัน,ฉันสวมบ้างเป็นบางครั้ง แต่จะถอดออกเมื่อไม่ได้อยู่ที่ทำงาน,ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว,ฉันจะอยู่ที่นี่ต่อไปและยอมรับว่ามันเป็นส่วนหนึ่งของชีวิต,ไม่ ฉันคิดว่าไม่จำเป็นต้องสวมหน้ากากเมื่ออยู่ในอาคารอยู่แล้ว,การเผาพื้นที่เกษตรกรรมและไฟป่า,สังเกตจากท้องฟ้าหรือกลุ่มก้อนเมฆด้วยตาเปล่า,ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
28/03/2026 09:55:07,"มีอาการแพ้ (จาม, แสบตา/คันตา)",ต่ำกว่า 18 ปี,"การเล่นกีฬา(ฟุตบอล, วิ่ง และอื่นๆ), การออกกำลังกายหรือเดินเล่นนอกบ้าน","หน้ากากอนามัย, ใช้ไฟฟ้ามากขึ้นสำหรับพัดลมหรือเครื่องปรับอากาศ (แอร์)","คนออกมาเดินเล่นหรือซื้อของน้อยลง, อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,น้อยลงกว่าเดิมเล็กน้อย,ไม่ตระหนักทุกปัญหามากเท่าที่ควร,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,ทุกวัน,ฉันสวมบ้างเป็นบางครั้ง แต่จะถอดออกเมื่อไม่ได้อยู่ที่ทำงาน,ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว,ฉันจะอยู่ที่นี่ต่อไปและยอมรับว่ามันเป็นส่วนหนึ่งของชีวิต,ไม่ ฉันคิดว่าไม่จำเป็นต้องสวมหน้ากากเมื่ออยู่ในอาคารอยู่แล้ว,การเผาพื้นที่เกษตรกรรมและไฟป่า,สังเกตจากท้องฟ้าหรือกลุ่มก้อนเมฆด้วยตาเปล่า,ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
28/03/2026 13:05:05,"มีปัญหาทางด้านการหายใจหรือระบบทางเดินหายใจ, ",ต่ำกว่า 18 ปี,"การเล่นกีฬา(ฟุตบอล, วิ่ง และอื่นๆ), การทำงานหรือนั่งเรียนในพื้นที่เปิดโล่ง (Outdoor)","หน้ากากอนามัย, เครื่องฟอกอากาศหรือแผ่นกรองอากาศใหม่, ยาแก้ไอหรือยาแก้แพ้","ผู้คนสวมหน้ากากอนามัยกันมากขึ้น, อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, มองเห็นภูเขาหรือตึกที่อยู่ไกลออกไปได้ยาก, ทุกอย่างดูเป็นสีเทาไปหมด",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ใช่ บางครั้งฉันพูดน้อยลงเพราะต้องการใส่หน้ากากอนามัยไว้ตลอดเวลา,ใช้พัดลมและเปิดหน้าต่างทิ้งไว้,น้อยลงกว่าเดิมเล็กน้อย,สดวกสบาย,ไม่ ฉันใส่หน้ากากตลอดเวลาเพื่อความปลอดภัย,2-3 ครั้งต่อสัปดาห์,ฉันสวมเพราะต้องการดูแลและป้องกันสุขภาพของตัวเอง,ไม่ ฉันยังรู้สึกว่ามันเป็นปัญหาที่อันตรายและไม่ควรเป็นเรื่องปกติ,ฉันอยากย้ายออกไป แต่ไม่มีทางเลือกเพราะเรื่องงานหรือเรื่องเรียน,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ",ตรวจสอบผ่านแอปพลิเคชันพยากรณ์อากาศหรือเว็บไซต์ (เช่น IQAir / AirVisual),ใช่ ฉันเชื่อว่ามันจะดีขึ้น
28/03/2026 13:13:17,"มีอาการแพ้ (จาม, แสบตา/คันตา)",ต่ำกว่า 18 ปี,"การไปนั่งเล่นกับเพื่อนตามคาเฟ่หรือสวนสาธารณะ, การออกกำลังกายหรือเดินเล่นนอกบ้าน","อุปกรณ์ทำความสะอาดภายในบ้าน, ใช้ไฟฟ้ามากขึ้นสำหรับพัดลมหรือเครื่องปรับอากาศ (แอร์)","คนออกมาเดินเล่นหรือซื้อของน้อยลง, ทุกอย่างดูเป็นสีเทาไปหมด",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ใช่ บางครั้งฉันพูดน้อยลงเพราะต้องการใส่หน้ากากอนามัยไว้ตลอดเวลา,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,ออกไปเฉพาะเวลาทำงานหรือไปหาอาหารเท่านั้น,อาจจะเป็นเพราะไม่อยากซื้อหน้ากากอนามัยหรือใส่แล้วอึดอัด,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,เฉพาะช่วงที่อากาศแย่มากๆ,ฉันสวมบ้างเป็นบางครั้ง แต่จะถอดออกเมื่อไม่ได้อยู่ที่ทำงาน,ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว,ฉันอยากย้ายออกไป แต่ไม่มีทางเลือกเพราะเรื่องงานหรือเรื่องเรียน,ใช่ เพราะทำให้คุยกันและกินอาหารได้สะดวกกว่า,"ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ",สังเกตจากท้องฟ้าหรือกลุ่มก้อนเมฆด้วยตาเปล่า,ใช่ ฉันเชื่อว่ามันจะดีขึ้น
